COMPANY,DATE,CLOSE,SECTOR,NEWS,DESCRIPTION
INFOSYS,2019,742.15,IT,News Event,#1 Large IT Services Company
INFOSYS,2018,659.85,IT,None,#1 Large IT Services Company
INFOSYS,2017,519.65,IT,None,#1 Large IT Services Company
INFOSYS,2016,505.35,IT,None,#1 Large IT Services Company
INFOSYS,2015,552.28,IT,News Event,#1 Large IT Services Company
INFOSYS,2014,492.8,IT,None,#1 Large IT Services Company
INFOSYS,2013,435.69,IT,None,#1 Large IT Services Company
INFOSYS,2012,289.82,IT,None,#1 Large IT Services Company
INFOSYS,2011,345.64,IT,None,#1 Large IT Services Company
INFOSYS,2010,430.63,IT,None,#1 Large IT Services Company
INFOSYS,2009,325.66,IT,None,#1 Large IT Services Company
INFOSYS,2008,139.74,IT,News Event,#1 Large IT Services Company
INFOSYS,2007,221.05,IT,None,#1 Large IT Services Company
INFOSYS,2006,280.07,IT,None,#1 Large IT Services Company
INFOSYS,2005,187.3,IT,None,#1 Large IT Services Company
INFOSYS,2004,130.57,IT,None,#1 Large IT Services Company
INFOSYS,2003,86.94,IT,None,#1 Large IT Services Company
INFOSYS,2002,74.55,IT,None,#1 Large IT Services Company
INFOSYS,2001,63.65,IT,News Event,#1 Large IT Services Company
INFOSYS,2000,89.15,IT,None,#1 Large IT Services Company
SILVERLINE,2000,874.1,IT,None,#2 Emerging IT Services Company
SILVERLINE,2001,247.9,IT,News Event,#2 Emerging IT Services Company
SILVERLINE,2002,63.6,IT,None,#2 Emerging IT Services Company
SILVERLINE,2003,21.45,IT,None,#2 Emerging IT Services Company
SILVERLINE,2004,0,IT,None,#2 Emerging IT Services Company
SILVERLINE,2005,0,IT,None,#2 Emerging IT Services Company
SILVERLINE,2006,0,IT,None,#2 Emerging IT Services Company
SILVERLINE,2007,0,IT,None,#2 Emerging IT Services Company
SILVERLINE,2008,0,IT,None,#2 Emerging IT Services Company
SILVERLINE,2009,0,IT,None,#2 Emerging IT Services Company
